attempts_on_target_from_inside_the_area,name,id,yellow_cards,fouls_suffered,role,attempts_inside_the_area,crosses_attempted,corners,distance_covered__km_,height,top_speed__km_h_,recovered_balls,country,penalties_scored,distance_covered_in_possession__km_,shots_blocked,fouls_causing_penalty,goals_scored_by_backheel,total_passes,short_passes_completed,age,attempts_outside_the_area,offsides,medium_passes_completed,red_cards,jerseynum,tackles_suffered,clearances,attempts_on_target,headed_goals,attempts_on_target_from_outside_the_area,international_goals,tackles,attempts,goals_scored_with_the_right_foot,blocks,lost_balls,attempts_off_target,save_rate,passes_completed,goals_scored,long_passes_completed,dribbles_into_penalty_area,international_caps,crosses_completed,tackles_won,shots_from_free_kick,goal_kicks_successfully_reaching_a_team_mate,throws,distance_covered_not_in_possession__km_,fouls_committed,deliveries_into_penalty_area,minutes_played,date_of_birth,goals_scored_with_the_left_foot,saves,matches_played,attempts_against_woodwork,assists
2,nichelle prince,359191,0,0,forward,7,9,0,23.5,163.0,0,0,canada,0,0,2,0,0,73,0,24,2,3,0,0,15,0,3,3,0,1,11,2,9,0,0,0,4,0,47,1,0,0,53,0,0,0,0,0,0,2,0,223,1995-02-19 00:00:00,1,0,3,0,1
0,jayde riviere,397247,0,1,forward,0,3,0,12.8,163.0,0,0,canada,0,0,0,0,0,75,0,18,0,0,0,0,8,0,4,0,0,0,0,6,0,0,0,0,0,0,59,0,0,0,8,0,0,0,0,0,0,0,0,102,2001-01-22 00:00:00,0,0,3,0,0
0,rebecca quinn,326251,1,0,defender,0,0,0,4.8,175.0,0,0,canada,0,0,0,0,0,11,0,23,0,0,0,0,5,0,1,0,0,0,5,1,0,0,0,0,0,0,7,0,0,0,51,0,0,0,0,0,0,0,0,24,1995-08-11 00:00:00,0,0,3,0,0
0,desiree scott,232135,0,5,midfielder,0,1,0,38.3,156.0,0,0,canada,0,0,1,0,0,175,0,31,2,0,0,0,11,0,5,0,0,0,0,10,2,0,1,0,1,0,148,0,0,0,147,0,0,0,0,0,0,1,0,349,1987-07-31 00:00:00,0,0,4,0,0
0,allysha chapman,302146,0,4,defender,0,5,0,28.2,160.0,0,0,canada,0,0,0,0,0,167,0,30,0,0,0,0,2,0,7,0,0,0,1,4,0,0,0,0,0,0,121,0,0,0,68,0,0,0,0,0,0,3,0,258,1989-01-25 00:00:00,0,0,4,0,0
0,ashley lawrence,326252,0,6,midfielder,2,10,0,41.5,164.0,0,0,canada,0,0,6,0,0,241,0,24,5,0,0,0,10,0,4,0,0,0,5,6,7,0,0,0,1,0,187,0,0,0,80,0,0,0,0,0,0,11,0,360,1995-06-11 00:00:00,0,0,4,0,1
,gabrielle carle,377907,,,forward,,,,,168.0,,,canada,,,,,,,,20,,,,,14,,,,,,1,,,,,,,,,,,,13,,,,,,,,,,1998-10-12 00:00:00,,,,,
4,janine beckie,381564,0,6,forward,7,26,23,42.3,173.0,0,0,canada,0,0,2,0,0,224,0,24,10,2,0,0,16,0,4,7,0,3,25,5,17,0,0,0,8,0,161,0,0,0,60,0,0,0,0,0,0,1,1,347,1994-08-20 00:00:00,0,0,4,0,1
1,jessie fleming,377901,0,4,midfielder,1,2,1,47.3,164.0,0,0,canada,0,0,0,0,0,173,0,21,1,0,0,0,17,0,4,1,0,0,9,4,2,1,0,0,1,0,136,1,0,0,69,0,0,0,0,0,0,1,0,360,1998-03-11 00:00:00,0,0,4,0,0
0,adriana leon,357771,0,0,forward,2,1,3,7.8,160.0,0,0,canada,0,0,0,0,0,16,0,26,1,0,0,0,19,0,0,0,0,0,15,0,3,0,0,0,3,0,12,0,0,0,60,0,0,0,0,0,0,1,0,54,1992-10-02 00:00:00,0,0,3,0,0
0,deanne rose,395390,0,0,midfielder,0,0,0,2,163.0,0,0,canada,0,0,0,0,0,5,0,20,0,0,0,0,6,0,0,0,0,0,8,0,0,0,0,0,0,0,4,0,0,0,41,0,0,0,0,0,0,0,0,15,1999-03-03 00:00:00,0,0,1,0,0
